"location","indicator","measure","Unit","Date","Value"
"Georgia","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","65.5"
"Georgia","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","5000"
"Georgia","Adults with AMI who are Uninsured","Percentage","%","2017","19.2"
"Georgia","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","48"
"Georgia","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","28000"
"Georgia","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","8.6"
"Georgia","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","46"
"Georgia","Adults with AMI who are Uninsured","Number","Number","2017","254000"
"Georgia","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","11.3"
"Hawaii","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","23"
"Hawaii","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","972"
"Hawaii","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","49"
"Hawaii","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","3"
"Hawaii","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","42"
"Hawaii","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","45"
"Hawaii","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","5.74"
"Hawaii","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","470"
"Hawaii","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","1"
"Hawaii","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","37"
"Hawaii","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","11.6"
"Hawaii","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","12.45"
"Hawaii","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","167000"
"Hawaii","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","63.5"
"Hawaii","Adults with AMI Reporting Unmet Need","Number","Number","2017","26000"
"Hawaii","Adults with AMI Reporting Unmet Need","Percentage","%","2017","14.4"
"Hawaii","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","1"
"Hawaii","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","22097"
"Hawaii","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","40"
"Hawaii","Adults with AMI who are Uninsured","Percentage","%","2017","5.3"
"Hawaii","Adults with AMI who are Uninsured","Number","Number","2017","10000"
"Hawaii","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","66.7"
"Hawaii","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","24"
"Hawaii","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","1000"
"Hawaii","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","18.7"
"Hawaii","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","5000"
"Hawaii","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","6000"
"Idaho","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","39"
"Idaho","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","5.33"
"Idaho","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","29"
"Idaho","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","9000"
"Idaho","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","1422"
"Idaho","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","52.2"
"Idaho","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","39"
"Idaho","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","20.74"
"Idaho","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","56031"
"Idaho","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","16"
"Idaho","Adults with AMI Reporting Unmet Need","Number","Number","2017","61000"
"Idaho","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","2000"
"Idaho","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","37"
"Idaho","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","550"
"Idaho","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","49"
"Idaho","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","37"
"Idaho","Adults with AMI who are Uninsured","Number","Number","2017","48000"
"Idaho","Adults with AMI who are Uninsured","Percentage","%","2017","19.3"
"Idaho","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","807000"
"Idaho","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","9.7"
"Idaho","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","14"
"Idaho","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","6000"
"Idaho","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","19.5"
"Idaho","Adults with AMI Reporting Unmet Need","Percentage","%","2017","24.7"
"Idaho","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","59.9"
"Idaho","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","44"
"Idaho","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","28"
"Illinois","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","19198"
"Illinois","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","13"
"Illinois","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","10.48"
"Illinois","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","9"
"Illinois","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","20000"
"Illinois","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","26.2"
"Illinois","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","36000"
"Illinois","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","7.5"
"Illinois","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","66000"
"Illinois","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","15.38"
"Illinois","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","262507"
"Illinois","Adults with AMI Reporting Unmet Need","Percentage","%","2017","21.3"
"Illinois","Adults with AMI Reporting Unmet Need","Number","Number","2017","324000"
"Illinois","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","53.3"
"Illinois","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","417000"
"Illinois","Adults with AMI who are Uninsured","Percentage","%","2017","13.9"
"Illinois","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","27"
"Illinois","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","22"
"Illinois","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","21"
"Illinois","Adults with AMI who are Uninsured","Number","Number","2017","211000"
"Illinois","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","19"
"Illinois","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","31"
"Illinois","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","25"
"Illinois","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","580"
"Illinois","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","23"
"Illinois","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","61.8"
"Illinois","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","30"
"Indiana","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","5"
"Indiana","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","12642"
"Indiana","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","3"
"Indiana","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","48"
"Indiana","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","13.29"
"Indiana","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","730"
"Indiana","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","37"
"Indiana","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","22.86"
"Indiana","Adults with AMI Reporting Unmet Need","Percentage","%","2017","24.5"
"Indiana","Adults with AMI Reporting Unmet Need","Number","Number","2017","247000"
"Indiana","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","55.4"
"Indiana","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","50000"
"Indiana","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","28"
"Indiana","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","34"
"Indiana","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","143000"
"Indiana","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","237916"
"Indiana","Adults with AMI who are Uninsured","Percentage","%","2017","16.1"
"Indiana","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","62.7"
"Indiana","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","9000"
"Indiana","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","31"
"Indiana","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","22"
"Indiana","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","33"
"Indiana","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","27"
"Indiana","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","12000"
"Indiana","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","4.3"
"Indiana","Adults with AMI who are Uninsured","Number","Number","2017","165000"
"Indiana","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","41"
"Iowa","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","2"
"Iowa","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","251000"
"Iowa","Adults with AMI who are Uninsured","Number","Number","2017","35000"
"Iowa","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","12.85"
"Iowa","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","30"
"Iowa","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","5610"
"Iowa","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","9"
"Iowa","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","18"
"Iowa","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","820"
"Iowa","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","26"
"Iowa","Adults with AMI who are Uninsured","Percentage","%","2017","9.3"
"Iowa","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","45.6"
"Iowa","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","8"
"Iowa","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","11000"
"Iowa","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","27.4"
"Iowa","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","5000"
"Iowa","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","4"
"Iowa","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","13000"
"Iowa","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","9"
"Iowa","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","54455"
"Iowa","Adults with AMI Reporting Unmet Need","Percentage","%","2017","20.6"
"Iowa","Adults with AMI Reporting Unmet Need","Number","Number","2017","77000"
"Iowa","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","45"
"Iowa","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","11"
"Iowa","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","10"
"Iowa","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","12.64"
"Iowa","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","56.4"
"Kansas","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","6.1"
"Kansas","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","19.02"
"Kansas","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","14000"
"Kansas","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","4000"
"Kansas","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","63.3"
"Kansas","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","27.9"
"Kansas","Adults with AMI who are Uninsured","Percentage","%","2017","18.5"
"Kansas","Adults with AMI Reporting Unmet Need","Percentage","%","2017","22.5"
"Kansas","Adults with AMI Reporting Unmet Need","Number","Number","2017","81000"
"Kansas","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","53.7"
"Kansas","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","502000"
"Kansas","Adults with AMI who are Uninsured","Number","Number","2017","66000"
"Kansas","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","29"
"Kansas","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","15"
"Kansas","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","32"
"Kansas","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","79714"
"Kansas","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","7000"
"Kansas","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","5.2"
"Kansas","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","31"
"Kansas","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","22"
"Kansas","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","39"
"Kansas","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","17"
"Kansas","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","2290"
"Kansas","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","41"
"Kansas","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","580"
"Kansas","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","23"
"Kansas","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","39"
"Kentucky","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","560"
"Kentucky","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","42"
"Kentucky","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","35"
"Kentucky","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","10"
"Kentucky","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","15"
"Kentucky","Adults with AMI who are Uninsured","Number","Number","2017","58000"
"Kentucky","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","757000"
"Kentucky","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","7.26"
"Kentucky","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","50.6"
"Kentucky","Adults with AMI Reporting Unmet Need","Percentage","%","2017","23.3"
"Kentucky","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","188778"
"Kentucky","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","15.38"
"Kentucky","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","20000"
"Kentucky","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","64.9"
"Kentucky","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","4000"
"Kentucky","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","19.5"
"Kentucky","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","5.8"
"Kentucky","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","27"
"Kentucky","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","4422"
"Kentucky","Adults with AMI who are Uninsured","Percentage","%","2017","8.1"
"Kentucky","Adults with AMI Reporting Unmet Need","Number","Number","2017","168000"
"Kentucky","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","10000"
"Kentucky","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","29"
"Kentucky","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","11"
"Kentucky","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","6"
"Kentucky","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","38"
"Kentucky","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","25"
"Louisiana","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","2.79"
"Louisiana","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","58.1"
"Louisiana","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","37"
"Louisiana","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","50"
"Louisiana","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","30"
"Louisiana","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","45"
"Louisiana","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","49"
"Louisiana","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","34"
"Louisiana","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","49"
"Louisiana","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","19"
"Louisiana","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","600"
"Louisiana","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","65"
"Louisiana","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","1763"
"Louisiana","Adults with AMI who are Uninsured","Number","Number","2017","119000"
"Louisiana","Adults with AMI who are Uninsured","Percentage","%","2017","17.7"
"Louisiana","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","92000"
"Louisiana","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","35"
"Louisiana","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","40"
"Louisiana","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","19000"
"Louisiana","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","14.4"
"Louisiana","Adults with AMI Reporting Unmet Need","Number","Number","2017","131000"
"Louisiana","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","5000"
"Louisiana","Adults with AMI Reporting Unmet Need","Percentage","%","2017","19.6"
"Louisiana","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","22.5"
"Louisiana","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","22000"
"Louisiana","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","225771"
"Louisiana","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","28.73"
"Maine","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","1"
"Maine","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","3"
"Maine","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","13.61"
"Maine","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","13"
"Maine","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","5000"
"Maine","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","50.1"
"Maine","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","382000"
"Maine","Adults with AMI who are Uninsured","Number","Number","2017","28000"
"Maine","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","34"
"Maine","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","2"
"Maine","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","11"
"Maine","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","8.1"
"Maine","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","3000"
"Maine","Adults with AMI who are Uninsured","Percentage","%","2017","13.3"
"Maine","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","7"
"Maine","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","4000"
"Maine","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","26"
"Maine","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","2234"
"Maine","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","6"
"Maine","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","32"
"Maine","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","4"
"Maine","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","15.89"
"Maine","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","240"
"Maine","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","41.4"
"Maine","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","40150"
"Maine","Adults with AMI Reporting Unmet Need","Number","Number","2017","40000"
"Maine","Adults with AMI Reporting Unmet Need","Percentage","%","2017","19.1"
"Maryland","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","6"
"Maryland","Adults with AMI who are Uninsured","Number","Number","2017","79000"
"Maryland","Adults with AMI who are Uninsured","Percentage","%","2017","11.3"
"Maryland","Adults with AMI Reporting Unmet Need","Percentage","%","2017","20"
"Maryland","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","24000"
"Maryland","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","59.5"
"Maryland","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","16000"
"Maryland","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","24.4"
"Maryland","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","143733"
"Maryland","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","8000"
"Maryland","Adults with AMI Reporting Unmet Need","Number","Number","2017","140000"
"Maryland","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","55.6"
"Maryland","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","246000"
"Maryland","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","18.27"
"Maryland","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","24"
"Maryland","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","19"
"Maryland","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","19"
"Maryland","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","28"
"Maryland","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","490"
"Maryland","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","6203"
"Maryland","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","22"
"Maryland","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","22"
"Maryland","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","8"
"Maryland","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","45"
"Maryland","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","16"
"Maryland","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","7.97"
"Maryland","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","20"
"Massachusetts","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","2"
"Massachusetts","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","5"
"Massachusetts","Adults with AMI who are Uninsured","Number","Number","2017","36000"
"Massachusetts","Adults with AMI who are Uninsured","Percentage","%","2017","3.3"
"Massachusetts","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","3104000"
"Massachusetts","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","45.9"
"Massachusetts","Adults with AMI Reporting Unmet Need","Number","Number","2017","169000"
"Massachusetts","Adults with AMI Reporting Unmet Need","Percentage","%","2017","15.6"
"Massachusetts","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","1"
"Massachusetts","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","7"
"Massachusetts","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","2"
"Massachusetts","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","200"
"Massachusetts","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","1"
"Massachusetts","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","5"
"Massachusetts","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","1"
"Massachusetts","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","17.61"
"Massachusetts","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","6"
"Massachusetts","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","141320"
"Massachusetts","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","3"
"Massachusetts","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","15137"
"Massachusetts","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","13.64"
"Massachusetts","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","26000"
"Massachusetts","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","55.5"
